model,horizon,target,n,rank_ic,icir,directional_accuracy,curve_shape_hit_rate,quantile_monotonic,quantile_realized_means
fadns_base,3m,2Y,2175,-0.055552810556190164,0.6515708267766823,0.4335632183908046,,False,0.164299|0.072897|-0.038644|0.117218|0.068690
fadns_base,3m,5Y,2175,0.08420874792041444,0.7786327276866599,0.5209195402298851,,False,0.043701|0.011471|0.054644|0.092253|0.101425
fadns_base,3m,10Y,2175,0.05863114979188335,0.8174050961276769,0.5057471264367817,,False,0.084391|0.021770|0.036989|0.032276|0.108138
fadns_base,3m,30Y,2175,0.02277643632979119,0.9656057969206888,0.44459770114942526,,False,0.106759|0.090184|-0.022736|-0.043701|0.147770
fadns_base,3m,2s10s,2175,-0.21971962968151243,-0.020143053146433297,0.40551724137931033,,False,0.109563|0.061701|-0.134644|-0.134644|-0.002874
fadns_base,3m,5s30s,2175,-0.08718438176591616,0.7471448559848045,0.432183908045977,,False,0.063287|-0.005471|-0.028575|-0.097195|0.042736
fadns_base,6m,2Y,2128,0.05988200559025775,0.7327121855668877,0.4468984962406015,,False,0.272465|-0.117647|0.145258|0.123906|0.312183
fadns_base,6m,5Y,2128,0.15211145818611727,0.9976077636480745,0.5681390977443609,,False,0.139390|-0.135482|0.177300|0.057929|0.330047
fadns_base,6m,10Y,2128,0.08754578729606588,1.0673726203680192,0.5023496240601504,,False,0.218498|0.001200|0.007089|-0.017365|0.313779
fadns_base,6m,30Y,2128,0.044287264654534475,1.3692900003188608,0.4407894736842105,,False,0.182606|0.189812|-0.102019|-0.196000|0.430211
fadns_base,6m,2s10s,2128,-0.256693830819783,0.20620144366383453,0.40789473684210525,,False,0.144014|0.070024|-0.154930|-0.246235|-0.026197
fadns_base,6m,5s30s,2128,-0.1560672974816904,0.8561436271446483,0.4393796992481203,,False,0.088944|0.004188|-0.022582|-0.170988|0.035305
fadns_adjusted,3m,2Y,2175,0.020838325729933382,0.26660051336176,0.45011494252873563,,False,0.072851|0.167149|-0.067862|0.096069|0.116253
fadns_adjusted,3m,5Y,2175,0.11811038665317006,0.3665651270840808,0.5218390804597701,,False,-0.014299|0.132966|-0.054828|0.176207|0.063448
fadns_adjusted,3m,10Y,2175,0.10408429103082638,0.46544455554954095,0.5314942528735632,,False,-0.018966|0.137908|-0.034023|0.181724|0.016920
fadns_adjusted,3m,30Y,2175,0.022109708972974595,0.530519488048444,0.5071264367816092,,False,0.034782|0.110276|0.028598|0.107678|-0.003057
fadns_adjusted,3m,2s10s,2175,0.19542409891927076,-0.2510811777341819,0.5508045977011494,,False,-0.161356|-0.009287|0.040805|0.036046|-0.007103
fadns_adjusted,3m,5s30s,2175,0.0018793301387297408,-0.5017142357243214,0.534712643678161,,False,-0.069379|0.052966|0.026115|-0.004023|-0.030897
fadns_adjusted,6m,2Y,2128,0.19549499484897698,0.04834153977071626,0.48778195488721804,,False,-0.068779|0.086918|0.143826|-0.026800|0.601127
fadns_adjusted,6m,5Y,2128,0.21555632153050877,0.32537259366094556,0.5587406015037594,,False,0.004343|-0.039459|0.092606|0.142612|0.369507
fadns_adjusted,6m,10Y,2128,0.1186854858615283,0.558355925787577,0.5286654135338346,,False,0.070986|0.077671|-0.027700|0.154941|0.247887
fadns_adjusted,6m,30Y,2128,-0.005243682217960947,0.8416988970931787,0.4718045112781955,,False,0.176150|0.133506|-0.027488|0.098471|0.124531
fadns_adjusted,6m,2s10s,2128,0.31137252126549075,-0.2826133625182258,0.605733082706767,,False,-0.312887|-0.077906|0.026714|0.115671|0.035587
fadns_adjusted,6m,5s30s,2128,0.04801533700684696,-0.7323269575670486,0.5075187969924813,,False,-0.114085|0.031624|0.011268|0.048988|-0.042347
