macro_block,horizon,target,n,rank_ic,directional_accuracy,decision
inflation_regime,3m,2Y,2175,0.18452109117093662,0.5535632183908046,transition_candidate
inflation_regime,3m,5Y,2175,0.14279500659459546,0.5264367816091954,transition_candidate
inflation_regime,3m,10Y,2175,0.0869475661012947,0.5066666666666667,transition_candidate
inflation_regime,3m,30Y,2175,0.024132423406080853,0.4864367816091954,context_explanation_only
inflation_regime,3m,2s10s,2175,-0.13332401956264475,0.4611494252873563,transition_candidate
inflation_regime,3m,5s30s,2175,-0.20112848214882517,0.4533333333333333,transition_candidate
inflation_regime,6m,2Y,2128,0.27839377886202743,0.6038533834586466,transition_candidate
inflation_regime,6m,5Y,2128,0.25644478406842686,0.5723684210526315,transition_candidate
inflation_regime,6m,10Y,2128,0.18041532370616511,0.5,transition_candidate
inflation_regime,6m,30Y,2128,0.11580473821286848,0.5145676691729323,transition_candidate
inflation_regime,6m,2s10s,2128,-0.23985339094940564,0.42857142857142855,transition_candidate
inflation_regime,6m,5s30s,2128,-0.30952466768616643,0.37640977443609025,transition_candidate
policy_path,3m,2Y,2175,0.20496172384773867,0.5259770114942529,transition_candidate
policy_path,3m,5Y,2175,0.05541701957433878,0.4781609195402299,transition_candidate
policy_path,3m,10Y,2175,0.04852741718261297,0.48919540229885056,context_explanation_only
policy_path,3m,30Y,2175,0.0956677020248285,0.4910344827586207,transition_candidate
policy_path,3m,2s10s,2175,-0.2802986526197707,0.4105747126436782,transition_candidate
policy_path,3m,5s30s,2175,0.0176847487943072,0.5314942528735632,context_explanation_only
policy_path,6m,2Y,2128,0.17307294709188176,0.4619360902255639,transition_candidate
policy_path,6m,5Y,2128,0.027754164094842295,0.38862781954887216,context_explanation_only
policy_path,6m,10Y,2128,0.04620668733396997,0.42387218045112784,context_explanation_only
policy_path,6m,30Y,2128,0.12509172729314014,0.49107142857142855,transition_candidate
policy_path,6m,2s10s,2128,-0.37642307508744755,0.40131578947368424,transition_candidate
policy_path,6m,5s30s,2128,0.009010847147992933,0.5216165413533834,context_explanation_only
growth_risk,3m,2Y,2175,0.2732712650470859,0.5981609195402299,transition_candidate
growth_risk,3m,5Y,2175,0.19497711014642277,0.592183908045977,transition_candidate
growth_risk,3m,10Y,2175,0.1777189052757554,0.5793103448275863,transition_candidate
growth_risk,3m,30Y,2175,0.16555058249501736,0.5282758620689655,transition_candidate
growth_risk,3m,2s10s,2175,-0.19706037759915604,0.3779310344827586,transition_candidate
growth_risk,3m,5s30s,2175,-0.10025178910507233,0.4303448275862069,transition_candidate
growth_risk,6m,2Y,2128,0.27111237070990446,0.5963345864661654,transition_candidate
growth_risk,6m,5Y,2128,0.1752695831264132,0.5554511278195489,transition_candidate
growth_risk,6m,10Y,2128,0.1747234183303517,0.5888157894736842,transition_candidate
growth_risk,6m,30Y,2128,0.1548050954608956,0.5629699248120301,transition_candidate
growth_risk,6m,2s10s,2128,-0.28751888068393977,0.3157894736842105,transition_candidate
growth_risk,6m,5s30s,2128,-0.1605613593508444,0.4149436090225564,transition_candidate
liquidity_supply,3m,2Y,2175,0.1542889945562584,0.5250574712643679,transition_candidate
liquidity_supply,3m,5Y,2175,0.10496005820191426,0.5393103448275862,transition_candidate
liquidity_supply,3m,10Y,2175,0.0979117315860825,0.5310344827586206,transition_candidate
liquidity_supply,3m,30Y,2175,0.09447203213178816,0.5158620689655172,transition_candidate
liquidity_supply,3m,2s10s,2175,-0.15646458113113568,0.44,transition_candidate
liquidity_supply,3m,5s30s,2175,-0.057799262503121326,0.5006896551724138,transition_candidate
liquidity_supply,6m,2Y,2128,0.22220346504402141,0.5587406015037594,transition_candidate
liquidity_supply,6m,5Y,2128,0.20112816626190816,0.5986842105263158,transition_candidate
liquidity_supply,6m,10Y,2128,0.19864968505989028,0.5643796992481203,transition_candidate
liquidity_supply,6m,30Y,2128,0.18170209928088268,0.5474624060150376,transition_candidate
liquidity_supply,6m,2s10s,2128,-0.17891681506471685,0.44360902255639095,transition_candidate
liquidity_supply,6m,5s30s,2128,-0.08448513954192204,0.47368421052631576,transition_candidate
global_relative_value,3m,2Y,2175,0.12444234283660321,0.6050574712643678,transition_candidate
global_relative_value,3m,5Y,2175,-0.04266769898125163,0.512183908045977,context_explanation_only
global_relative_value,3m,10Y,2175,-0.09478387131625154,0.48367816091954025,transition_candidate
global_relative_value,3m,30Y,2175,-0.09593373295568938,0.45379310344827584,transition_candidate
global_relative_value,3m,2s10s,2175,-0.3546390261310402,0.3213793103448276,transition_candidate
global_relative_value,3m,5s30s,2175,-0.08306724883847769,0.43264367816091953,transition_candidate
global_relative_value,6m,2Y,2128,0.1371241352979101,0.5916353383458647,transition_candidate
global_relative_value,6m,5Y,2128,-0.04811401938817091,0.48120300751879697,context_explanation_only
global_relative_value,6m,10Y,2128,-0.10783850177118952,0.4468984962406015,transition_candidate
global_relative_value,6m,30Y,2128,-0.10089210329389404,0.46710526315789475,transition_candidate
global_relative_value,6m,2s10s,2128,-0.4767862985790453,0.29605263157894735,transition_candidate
global_relative_value,6m,5s30s,2128,-0.1460786507371178,0.39285714285714285,transition_candidate
