as_of,target,month,horizon_days,current,central,delta_bp,p10,p25,p50,p75,p90,base_central,overlay_bp,overlay_reasons,uncertainty_widen_bp
2026-05-29,2Y,1,21,3.977518,4.00206,2.4542,3.358991,3.776253,4.252942,4.638425,4.978421,4.00206,0.0,"['atlanta_mpt_object_pod: no high-conviction next-meeting cut/hike probability; overlay step +0.0bp.', 'Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.']",23.17326
2026-05-29,2Y,2,42,3.977518,4.015178,3.766,3.195348,3.789371,4.360721,4.884438,5.232504,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],23.17326
2026-05-29,2Y,3,63,3.977518,4.020591,4.3073,3.204224,3.836152,4.455206,5.003569,5.333334,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",14.899664
2026-05-29,2Y,4,84,3.977518,4.020961,4.3443,3.109226,3.795154,4.541093,5.156414,5.604855,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],23.17326
2026-05-29,2Y,5,105,3.977518,4.018181,4.0663,3.106446,3.792374,4.592179,5.232947,5.811076,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],23.17326
2026-05-29,2Y,6,126,3.977518,4.013583,3.6065,3.151007,3.829144,4.636895,5.315827,5.855638,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",14.899664
2026-05-29,2Y,7,147,3.977518,4.008093,3.0575,3.096358,3.782286,4.668193,5.443013,6.028799,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],23.17326
2026-05-29,2Y,8,168,3.977518,4.002341,2.4823,3.154567,3.815588,4.719015,5.476315,6.087008,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-05-29,2Y,9,189,3.977518,3.996745,1.9227,3.167746,3.812306,4.772661,5.569388,6.130757,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",14.899664
2026-05-29,2Y,10,210,3.977518,3.991575,1.4057,3.165628,3.808661,4.843806,5.695559,6.300981,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-05-29,2Y,11,231,3.977518,3.986991,0.9473,3.161044,3.804077,4.85999,5.80445,6.393132,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-05-29,2Y,12,252,3.977518,3.983079,0.5561,3.15408,3.79864,4.919843,5.868401,6.483457,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",14.899664
2026-05-29,5Y,1,21,4.174641,4.189251,1.461,3.56002,3.95329,4.385868,4.799375,5.145962,,,['Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.'],21.0
2026-05-29,5Y,2,42,4.174641,4.193412,1.8771,3.389773,3.95688,4.469442,5.02445,5.37285,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],21.0
2026-05-29,5Y,3,63,4.174641,4.190705,1.6064,3.364889,3.975358,4.537338,5.122253,5.526329,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",16.763055
2026-05-29,5Y,4,84,4.174641,4.183679,0.9038,3.315494,3.947147,4.596227,5.216516,5.736847,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],21.0
2026-05-29,5Y,5,105,4.174641,4.174134,-0.0507,3.297239,3.937602,4.63063,5.279476,5.859531,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],21.0
2026-05-29,5Y,6,126,4.174641,4.163324,-1.1317,3.315133,3.947977,4.680013,5.33183,5.877425,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",16.763055
2026-05-29,5Y,7,147,4.174641,4.152107,-2.2534,3.275212,3.915575,4.742362,5.426846,5.959675,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],21.0
2026-05-29,5Y,8,168,4.174641,4.141057,-3.3584,3.292823,3.93055,4.803715,5.441821,5.977286,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",15.652476
2026-05-29,5Y,9,189,4.174641,4.130547,-4.4094,3.296021,3.9152,4.833842,5.501959,6.053614,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",16.763055
2026-05-29,5Y,10,210,4.174641,4.1208,-5.3841,3.29738,3.911006,4.872751,5.544693,6.129532,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",15.652476
2026-05-29,5Y,11,231,4.174641,4.111943,-6.2698,3.211148,3.902149,4.901813,5.605328,6.1989,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",15.652476
