as_of,target,month,horizon_days,current,central,delta_bp,p10,p25,p50,p75,p90,base_central,overlay_bp,overlay_reasons,uncertainty_widen_bp
2026-06-02,2Y,1,21,4.034008,4.051539,1.7531,3.043073,3.554555,4.051539,4.508296,4.88587,4.051539,0.0,"['atlanta_mpt_object_pod: no high-conviction next-meeting cut/hike probability; overlay step +0.0bp.', 'Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25) + NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.']",32.771939
2026-06-02,2Y,2,42,4.034008,4.060082,2.6074,2.878552,3.553021,4.060082,4.531996,4.85314,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",14.899664
2026-06-02,2Y,3,63,4.034008,4.062167,2.8159,2.587853,3.462748,4.062167,4.666768,5.048789,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],23.17326
2026-06-02,2Y,4,84,4.034008,4.059693,2.5685,2.438862,3.460274,4.059693,4.737014,5.175791,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],23.17326
2026-06-02,2Y,5,105,4.034008,4.054085,2.0077,2.448082,3.483478,4.054085,4.760218,5.196347,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",14.899664
2026-06-02,2Y,6,126,4.034008,4.046401,1.2393,2.274828,3.443031,4.046401,4.781346,5.395339,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],23.17326
2026-06-02,2Y,7,147,4.034008,4.037422,0.3414,2.267402,3.413851,4.037422,4.752166,5.387913,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-06-02,2Y,8,168,4.034008,4.027722,-0.6286,2.265394,3.425318,4.027722,4.808731,5.445622,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",14.899664
2026-06-02,2Y,9,189,4.034008,4.017713,-1.6295,2.258437,3.412331,4.017713,4.83105,5.493609,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-06-02,2Y,10,210,4.034008,4.007689,-2.6319,2.230395,3.326642,4.007689,4.895808,5.594884,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",14.59452
